country,iso3,aic_pc_ppp,a_bar_full,a_bar_no_egy,a_bar_no_egy_mus
Argentina,ARG,17667.0857572776,0.024719964529191337,0.025347699104205146,0.025385298543857973
Burkina Faso,BFA,1631.01100840023,0.26776626951307225,0.2745658806208201,0.2749731571636214
Bangladesh,BGD,3825.20003589598,0.11417173720479383,0.11707099488164877,0.117244651819466
Bolivia,BOL,7328.46669573765,0.0595936027802504,0.06110691259388815,0.0611975553643818
Brazil,BRA,10467.0735506047,0.041724148697594,0.04278368463339876,0.042847147694163604
Botswana,BWA,7302.60634577727,0.05980463858723846,0.06132330740826701,0.06141427116741257
Chile,CHL,16455.7292312973,0.026539676675249584,0.027213620711013405,0.027253987960342518
China,CHN,6937.54635261514,0.06295161301364949,0.06455019556804159,0.06464594592285136
Cameroon,CMR,3015.17058262792,0.14484412118184206,0.14852226816081374,0.1487425782582256
Colombia,COL,11571.0941099634,0.037743166644719744,0.038701610199338134,0.03875901812623418
Costa Rica,CRI,15635.8492291663,0.02793130880537213,0.028640591710766872,0.02868307565359826
Ecuador,ECU,7837.7200394049,0.05572152756903571,0.057136510563301886,0.057221263848878864
"Egypt, Arab Rep.",EGY,12262.0150244074,0.03561647350657932,0.03652091217734446,0.03657508537183573
Ethiopia,ETH,1775.26439501996,0.2460082759949531,0.25225536831578593,0.25262955062160786
Ghana,GHA,4313.85128480342,0.10123894043185248,0.10380978486699684,0.10396377082546328
"Hong Kong SAR, China",HKG,41499.8508188028,0.010523645859859567,0.010790881533018961,0.010806888157420395
Indonesia,IDN,6568.43091603575,0.06648920249551221,0.06817761799555229,0.06827874907742915
India,IND,4247.43217233323,0.10282206178566855,0.10543310773522283,0.10558950164519484
Israel,ISR,23750.0246585998,0.018388601255449454,0.01885555826829455,0.01888352760871928
Japan,JPN,27553.8774157693,0.01585002817077715,0.016252521090457127,0.016276629222853476
Kenya,KEN,3566.74790703226,0.12244479975526727,0.12555414217549032,0.12574038256648135
Cambodia,KHM,3101.28238679906,0.1408223047062952,0.14439832236169609,0.14461251521546512
"Korea, Rep.",KOR,22116.349914635,0.019746917323146873,0.020248367183199886,0.020278402542892423
Lao PDR,LAO,4266.42674489623,0.10236428734573434,0.10496370864901677,0.1051194062771471
Sri Lanka,LKA,9152.98614152227,0.04771445367680295,0.04892610639845044,0.04899868080362283
Lesotho,LSO,2984.32345521324,0.14634128632778445,0.15005745206384227,0.15028003937206844
Morocco,MAR,5431.33963693858,0.08040921070077843,0.08245110852174187,0.08257341214647827
Mexico,MEX,15570.3051537003,0.028048887221089204,0.02876115589277555,0.028803818674154262
Myanmar,MMR,2620.87154978526,0.16663530621707387,0.17086681484270103,0.17112026966189145
Mozambique,MOZ,1047.27035661561,0.4170171823304849,0.42760684573451435,0.428241135171407
Mauritius,MUS,17330.2071866766,0.02520049117415284,0.02584042816106338,0.02587875848900561
Malawi,MWI,1364.00700041877,0.3201814456377433,0.3283120788135058,0.32879907963136684
Malaysia,MYS,16859.0814503406,0.02590471696459243,0.026562536941454405,0.026601938407467177
Namibia,NAM,9036.68517392567,0.04832853251480065,0.049555779050020975,0.04962928747838681
Nigeria,NGA,4525.22016061054,0.09651016254536451,0.09896092519910486,0.09910771861493779
Nepal,NPL,3321.94239638722,0.13146818371355545,0.134806664411366,0.13500662950573203
Pakistan,PAK,4999.08569009038,0.08736192182498635,0.08958037560975768,0.08971325441319346
Peru,PER,8614.5751956111,0.05069660701047523,0.05198398802668917,0.0520610983321527
Philippines,PHL,6435.98069434908,0.06785752692476861,0.06958068942264786,0.06968390174666172
Rwanda,RWA,1785.36303638872,0.2446167666478989,0.2508285232170332,0.2512005890161077
Senegal,SEN,2755.56038675825,0.1584903511288569,0.16251502815022464,0.1627560943696275
Singapore,SGP,31803.6141657929,0.013732078718393532,0.014080788789889291,0.014101675489159042
Thailand,THA,10824.5750401996,0.04034613198506042,0.04137067479883288,0.04143204187535137
Tunisia,TUN,10125.1088759679,0.04313333699459453,0.04422865761834605,0.04429426407580833
Turkiye,TUR,19111.1737359664,0.02285206232164471,0.023432363705682982,0.023467122037847687
"Taiwan, China",TWN,29323.1669373046,0.014893675508782823,0.015271882971615506,0.015294536477159174
Tanzania,TZA,1821.27509492247,0.2397933922621804,0.24588266488249771,0.24624739425623374
Uganda,UGA,1911.72386039736,0.22844812595649017,0.23424929881378348,0.23459677186600247
Viet Nam,VNM,5876.24017157865,0.07432128716698733,0.07620858929313541,0.07632163309416741
South Africa,ZAF,10250.7146756932,0.04260480825689845,0.043686707511774274,0.04375151006903862
Zambia,ZMB,1844.67549760315,0.23675152286759465,0.24276355077385087,0.2431236534182646
